id,difficulty,question,option_a,option_b,option_c,option_d,answer,concept
1,easy,Which term is zero in steady-state mass balance? (Variant 1),Input,Output,Accumulation,Generation,2,mass_balance
2,medium,Why is a purge stream required in recycle systems? (Variant 1),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
3,hard,Which balance must always be satisfied? (Variant 1),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
4,easy,Which term is zero in steady-state mass balance? (Variant 2),Input,Output,Accumulation,Generation,2,mass_balance
5,medium,Why is a purge stream required in recycle systems? (Variant 2),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
6,hard,Which balance must always be satisfied? (Variant 2),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
7,easy,Which term is zero in steady-state mass balance? (Variant 3),Input,Output,Accumulation,Generation,2,mass_balance
8,medium,Why is a purge stream required in recycle systems? (Variant 3),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
9,hard,Which balance must always be satisfied? (Variant 3),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
10,easy,Which term is zero in steady-state mass balance? (Variant 4),Input,Output,Accumulation,Generation,2,mass_balance
11,medium,Why is a purge stream required in recycle systems? (Variant 4),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
12,hard,Which balance must always be satisfied? (Variant 4),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
13,easy,Which term is zero in steady-state mass balance? (Variant 5),Input,Output,Accumulation,Generation,2,mass_balance
14,medium,Why is a purge stream required in recycle systems? (Variant 5),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
15,hard,Which balance must always be satisfied? (Variant 5),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
16,easy,Which term is zero in steady-state mass balance? (Variant 6),Input,Output,Accumulation,Generation,2,mass_balance
17,medium,Why is a purge stream required in recycle systems? (Variant 6),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
18,hard,Which balance must always be satisfied? (Variant 6),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
19,easy,Which term is zero in steady-state mass balance? (Variant 7),Input,Output,Accumulation,Generation,2,mass_balance
20,medium,Why is a purge stream required in recycle systems? (Variant 7),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
21,hard,Which balance must always be satisfied? (Variant 7),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
22,easy,Which term is zero in steady-state mass balance? (Variant 8),Input,Output,Accumulation,Generation,2,mass_balance
23,medium,Why is a purge stream required in recycle systems? (Variant 8),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
24,hard,Which balance must always be satisfied? (Variant 8),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
25,easy,Which term is zero in steady-state mass balance? (Variant 9),Input,Output,Accumulation,Generation,2,mass_balance
26,medium,Why is a purge stream required in recycle systems? (Variant 9),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
27,hard,Which balance must always be satisfied? (Variant 9),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
28,easy,Which term is zero in steady-state mass balance? (Variant 10),Input,Output,Accumulation,Generation,2,mass_balance
29,medium,Why is a purge stream required in recycle systems? (Variant 10),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
30,hard,Which balance must always be satisfied? (Variant 10),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
31,easy,Which term is zero in steady-state mass balance? (Variant 11),Input,Output,Accumulation,Generation,2,mass_balance
32,medium,Why is a purge stream required in recycle systems? (Variant 11),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
33,hard,Which balance must always be satisfied? (Variant 11),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
34,easy,Which term is zero in steady-state mass balance? (Variant 12),Input,Output,Accumulation,Generation,2,mass_balance
35,medium,Why is a purge stream required in recycle systems? (Variant 12),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
36,hard,Which balance must always be satisfied? (Variant 12),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
37,easy,Which term is zero in steady-state mass balance? (Variant 13),Input,Output,Accumulation,Generation,2,mass_balance
38,medium,Why is a purge stream required in recycle systems? (Variant 13),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
39,hard,Which balance must always be satisfied? (Variant 13),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
40,easy,Which term is zero in steady-state mass balance? (Variant 14),Input,Output,Accumulation,Generation,2,mass_balance
41,medium,Why is a purge stream required in recycle systems? (Variant 14),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
42,hard,Which balance must always be satisfied? (Variant 14),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
43,easy,Which term is zero in steady-state mass balance? (Variant 15),Input,Output,Accumulation,Generation,2,mass_balance
44,medium,Why is a purge stream required in recycle systems? (Variant 15),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
45,hard,Which balance must always be satisfied? (Variant 15),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
46,easy,Which term is zero in steady-state mass balance? (Variant 16),Input,Output,Accumulation,Generation,2,mass_balance
47,medium,Why is a purge stream required in recycle systems? (Variant 16),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
48,hard,Which balance must always be satisfied? (Variant 16),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
49,easy,Which term is zero in steady-state mass balance? (Variant 17),Input,Output,Accumulation,Generation,2,mass_balance
50,medium,Why is a purge stream required in recycle systems? (Variant 17),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
51,hard,Which balance must always be satisfied? (Variant 17),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
52,easy,Which term is zero in steady-state mass balance? (Variant 18),Input,Output,Accumulation,Generation,2,mass_balance
53,medium,Why is a purge stream required in recycle systems? (Variant 18),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
